project_name,atlas_id,atlas_name,project_description,project_stage,contact_name,contact_email,lead_entity,early_implementation,construction_start_year,construction_completion_year,construction_completion_year_comments,estimated_budget,estimated_budget_comments,funding_secured,funding_sources,system,project_type,target_species,contractors,acreage,acreage_bypass_floodplain,acreage_fish_food,acreage_tributary_floodplain,acreage_tributary_rearing,acreage_tributary_spawning,acreage_tidal_wetland
Agricultural Road Crossing #4 Improvements,FL1055,Agricultural Road Crossing #4 Fish Passage,Remove a fish passage impediment and install fish-protective screens in the Yolo Bypass.,construction,Josh Martinez,joshua.martinez@water.ca.gov,DWR,TRUE,2025,2026,,16000000,,NA,WCB grant; USBR grant,Yolo Bypass,fish screen installation or improvement;fish passage improvement,Chinook salmon;Steelhead trout;Green sturgeon;White sturgeon,,100,100,,,,,
Dos Rios Norte,FL1051,Dos Rios Ranch Floodplain Expansion and Ecosystem Restoration Project,Enhance floodplain habitat through improved connections to the Feather River and the Sacramento River.,concept/feasibility,Julie Rentner,jrentner@riverpartners.org,River Partners,FALSE,0,0,,25000000,,NA,,Sutter Bypass,bypass floodplain habitat,Chinook salmon;Steelhead trout,,1600,,,1300,,,
Dutch Slough Tidal Restoration Project (Phase 2),HS128,Dutch Slough Tidal Restoration Project - Phase 2,"Converts approximately 1,200 acres of former grazing land near Oakley in the western SacramentoSan Joaquin Delta into a restored tidal marsh, re-establishing daily tidal flow to support native fish and wildlife, improve flood resilience, and serve as a living laboratory and community-accessed park.",construction,Katie Bandy,katherine.bandy@water.ca.gov,DWR,TRUE,2026,2028,"Phase 1 completed 2021, now in Phase 2 (scheduled for completion in 2028).",46000000,,NA,,Delta,tidal habitat,Chinook salmon;Steelhead trout;Delta smelt,,1187,447,,,,,
Grizzly Slough Floodplain Restoration,ER012,Grizzly Slough Floodplain Restoration,"Habitat restoration effort in southern Sacramento County, near the confluence of the Cosumnes and Mokelumne Rivers, that will restore over 200 acres of floodplain and wetland habitats to support native fish and wildlife through hydrologic reconnection and native plant enhancement.",post-construction monitoring and science,Otome Lindsey,otome.lindsey@water.ca.gov,DWR,TRUE,2025,2025,,7180000,,NA,,Delta,bypass floodplain habitat,Chinook salmon;Steelhead trout;Delta smelt,,180,171,,,,,
Kopta Slough Multi-Benefit Project,FL1048,Kopta Slough Flood Damage Reduction & Habitat Restoration,"Restoration of 176 acres of floodplain habitat by removing rock revetment, recontouring the riverbank, and converting agricultural land back to native riparian habitats, enhancing fish and wildlife habitat, floodplain function, and public recreation opportunities, while also reducing flood management costs.",permitting,Adam Henderson,adam.henderson@water.ca.gov,DWR,TRUE,2028,2030,,11000000,,NA,,Sacramento,rearing habitat,Chinook salmon;Steelhead trout,,170,,,,170,,
Little Egbert Multi-Benefit Project,HS124,Little Egbert Multibenefit Project,"Transformation of the Little Egbert Tract, a below-sea-level agricultural area at the southeastern end of the Yolo Bypass near Rio Vista, into enhanced habitat and flood conveyance zones by breaching existing levees, constructing subtidal swales and berms, and restoring native riparian and tidal ecosystems while also improving recreational opportunities and flood protection for nearby communities.",CEQA,David Julian,david.julian@water.ca.gov,DWR,TRUE,2028,2030,,250000000,,NA,,Delta,tidal habitat;bypass floodplain habitat,Chinook salmon;Steelhead trout;Green sturgeon;White sturgeon,,3000,,,,,,3000
Lower Elkhorn Basin Levee Setback,FL1045,Lower Elkhorn Basin Levee Setback Project,7 miles of setback levees in the Lower Elkhorn Basin along the east side of the Yolo Bypass.,construction,Colin Hanley,colin.hanley@water.ca.gov,DWR,TRUE,2023,2026,,200000000,,NA,,Yolo Bypass,bypass floodplain habitat;fish passage improvement,Chinook salmon;Steelhead trout;Green sturgeon;White sturgeon,,500,500,,,,,
McCormick-Williamson Tract (MWT) Monitoring Project (Phase B),ER020,McCormack Williamson Tract Floodplain Restoration (Phase B),"Restore hydrologic function and habitat on the 1,654-acre McCormack-Williamson Tract in a manner that also helps provide flood relief to the North Delta region by reconnecting the site as a floodplain to the Mokelumne River.",post-construction monitoring and science,Josh Martinez,joshua.martinez@water.ca.gov,DWR,TRUE,2024,2025,,51000000,,NA,,Delta,tidal habitat;tributary floodplain habitat,Chinook salmon;Steelhead trout;Delta smelt,,1654,1457,,,,,
Prospect Island Tidal Habitat Restoration Project,HS075,Prospect Island,"Restore daily tidal inundation across a diked historical marsh on Prospect Island (located within the Cache Slough Complex in Solano County) by breaching levees to reinstate tidal flow and enhance habitat for native fish, improve water quality, bolster climate resilience, and sequester carbon.",post-construction monitoring and science,Dan Riordan,dan.riordan@water.ca.gov,DWR,TRUE,2024,2026,,69400000,,NA,,Delta,tidal habitat,Chinook salmon;Steelhead trout;Delta smelt,,1600,,,,,,640
Tide's End Multibenefit Restoration Project,HS126,Tide's End Multi-benefit Project,"Restoration of approximately 2,200 acres at the downstream end of the Yolo Bypass in Yolo County to create a connected network of tidal marsh, floodplain, and wildlife-friendly agricultural habitatsbalancing flood management, ecosystem enhancement, and continued land use.",CEQA,Judah Grossman,judah.grossman@water.ca.gov,DWR,TRUE,2027,2028,,65000000,,NA,,Yolo Bypass,tidal habitat;bypass floodplain habitat,Chinook salmon;Steelhead trout;Delta smelt,,2200,,,,,,1600
Tisdale Weir Reoperation,FL1054,Tisdale Weir Rehabilitation and Fish Passage,Modify operations to create seasonal floodplain rearing habitat in the Tisdale and Sutter Bypasses.,concept/feasibility,Josh Martinez,joshua.martinez@water.ca.gov,DWR,FALSE,2027,2030,,30000000,,NA,,Sutter Bypass,bypass floodplain habitat,Chinook salmon;Steelhead trout,,10000,10000,,,,,
